"gcc_m2b"
"size", "block size", "assoc", "l1-i miss", "l1-d miss"
8K ,4K ,2,638583, 6120957
16K ,4K ,4,355889, 3989493
32K ,4K ,8,118319, 1857215
16K ,8K ,2,556139, 5917321
32K ,8K ,4,277523, 3407764
64K ,8K ,8,84575, 1392162
32K ,16K ,2,405959, 5779900
64K ,16K ,4,176683, 3133213
128K ,16K ,8,33553, 1090918
8K ,4K ,2,638583, 6120957
16K ,4K ,4,355889, 3989493
32K ,4K ,8,118319, 1857215
16K ,8K ,2,556139, 5917321
32K ,8K ,4,277523, 3407764
64K ,8K ,8,84575, 1392162
32K ,16K ,2,405959, 5779900
64K ,16K ,4,176683, 3133213
128K ,16K ,8,33553, 1090918
8K ,4K ,2,638583, 6120957
16K ,4K ,4,355889, 3989493
32K ,4K ,8,118319, 1857215
16K ,8K ,2,556139, 5917321
32K ,8K ,4,277523, 3407764
64K ,8K ,8,84575, 1392162
32K ,16K ,2,405959, 5779900
64K ,16K ,4,176683, 3133213
128K ,16K ,8,33553, 1090918
