"gzip_f2b"
"size", "block size", "assoc", "l1-i miss", "l1-d miss"
8K ,4K ,2,4393802, 39906057
16K ,4K ,4,944, 20345008
32K ,4K ,8,121, 8427284
16K ,8K ,2,1090, 38815713
32K ,8K ,4,619, 18836699
64K ,8K ,8,61, 7354603
32K ,16K ,2,1000, 35105783
64K ,16K ,4,393, 14339842
128K ,16K ,8,13, 4508819
8K ,4K ,2,4393802, 39906057
16K ,4K ,4,944, 20345008
32K ,4K ,8,121, 8427284
16K ,8K ,2,1090, 38815713
32K ,8K ,4,619, 18836699
64K ,8K ,8,61, 7354603
32K ,16K ,2,1000, 35105783
64K ,16K ,4,393, 14339842
128K ,16K ,8,13, 4508819
8K ,4K ,2,4393802, 39906057
16K ,4K ,4,944, 20345008
32K ,4K ,8,121, 8427284
16K ,8K ,2,1090, 38815713
32K ,8K ,4,619, 18836699
64K ,8K ,8,61, 7354603
32K ,16K ,2,1000, 35105783
64K ,16K ,4,393, 14339842
128K ,16K ,8,13, 4508819
