"lucas_f2b"
"size", "block size", "assoc", "l1-i miss", "l1-d miss"
8K ,4K ,2,4210591, 21200756
16K ,4K ,4,348, 12927168
32K ,4K ,8,203, 8258
16K ,8K ,2,4210494, 21052730
32K ,8K ,4,271, 12631111
64K ,8K ,8,122, 2308
32K ,16K ,2,347, 21052410
64K ,16K ,4,197, 10525833
128K ,16K ,8,96, 1118
8K ,4K ,2,4210591, 21200756
16K ,4K ,4,348, 12927168
32K ,4K ,8,203, 8258
16K ,8K ,2,4210494, 21052730
32K ,8K ,4,271, 12631111
64K ,8K ,8,122, 2308
32K ,16K ,2,347, 21052410
64K ,16K ,4,197, 10525833
128K ,16K ,8,96, 1118
8K ,4K ,2,4210591, 21200756
16K ,4K ,4,348, 12927168
32K ,4K ,8,203, 8258
16K ,8K ,2,4210494, 21052730
32K ,8K ,4,271, 12631111
64K ,8K ,8,122, 2308
32K ,16K ,2,347, 21052410
64K ,16K ,4,197, 10525833
128K ,16K ,8,96, 1118
