"mesa_m2b"
"size", "block size", "assoc", "l1-i miss", "l1-d miss"
8K ,4K ,2,4352965, 40654384
16K ,4K ,4,2800882, 24223090
32K ,4K ,8,2184377, 15985180
16K ,8K ,2,3806857, 36781785
32K ,8K ,4,2529582, 19848324
64K ,8K ,8,1772787, 10244655
32K ,16K ,2,3600831, 30976490
64K ,16K ,4,2323545, 15055538
128K ,16K ,8,1502628, 5333016
8K ,4K ,2,4352965, 40654384
16K ,4K ,4,2800882, 24223090
32K ,4K ,8,2184377, 15985180
16K ,8K ,2,3806857, 36781785
32K ,8K ,4,2529582, 19848324
64K ,8K ,8,1772787, 10244655
32K ,16K ,2,3600831, 30976490
64K ,16K ,4,2323545, 15055538
128K ,16K ,8,1502628, 5333016
8K ,4K ,2,4352965, 40654384
16K ,4K ,4,2800882, 24223090
32K ,4K ,8,2184377, 15985180
16K ,8K ,2,3806857, 36781785
32K ,8K ,4,2529582, 19848324
64K ,8K ,8,1772787, 10244655
32K ,16K ,2,3600831, 30976490
64K ,16K ,4,2323545, 15055538
128K ,16K ,8,1502628, 5333016
